country,year,GDP_per_capita
SEN,2018,1355.09610863533
SEN,2019,1379.60875249843
SEN,2020,1361.7914374888001
SGP,1990,23272.700093215899
SGP,1991,24132.715329062099
SGP,1992,24973.431135811199
SGP,1993,27139.952427898501
SGP,1994,29220.272791547599
SGP,1995,30379.8991144598
SGP,1996,31349.317180513099
SGP,1997,32835.251850608198
SGP,1998,31043.108180076
SGP,1999,32557.046990406299
SGP,2000,34890.081136516797
SGP,2001,33597.869080822602
SGP,2002,34598.826748378102
SGP,2003,36709.796503825499
SGP,2004,39856.635622261303
SGP,2005,41798.488083467098
SGP,2006,44159.410182055202
SGP,2007,46178.813947019902
SGP,2008,44601.579930269902
SGP,2009,43331.874663896197
SGP,2010,48752.051544185902
SGP,2011,50713.5326393594
SGP,2012,51679.352717333
SGP,2013,53298.972855828601
SGP,2014,54681.933645825302
SGP,2015,55645.606861460597
SGP,2016,57076.524193678699
SGP,2017,59493.375859570297
SGP,2018,61101.5252578902
SGP,2019,61106.311977535101
SGP,2020,59083.857484157197
SLB,1990,1805.73206812837
SLB,1991,1856.36888711081
SLB,1992,2029.9528237345401
SLB,1993,2049.2778143567998
SLB,1994,2151.0299399004102
SLB,1995,2299.9768783352802
SLB,1996,2270.4602838594401
SLB,1997,2186.4070553299098
SLB,1998,2153.3586262081699
SLB,1999,2086.0089956893898
SLB,2000,1747.7179560715299
SLB,2001,1577.6551996625701
SLB,2002,1504.84671895171
SLB,2003,1573.8434843576699
SLB,2004,1664.57315979072
SLB,2005,1755.74082446273
SLB,2006,1796.71439810674
SLB,2007,1830.23321405807
SLB,2008,1911.18969015528
SLB,2009,1930.4628761492199
SLB,2010,2058.9569164888298
SLB,2011,2132.0284419939198
SLB,2012,2105.9142375837901
SLB,2013,2136.7211617703401
SLB,2014,2085.1606727308599
SLB,2015,2045.47721526649
SLB,2016,2084.24845745225
SLB,2017,2075.3670530230502
SLB,2018,2061.8996970669
SLB,2019,2043.0913977830701
SLB,2020,1930.65510307199
SLE,1990,992.25935190339806
SLE,1991,1003.7723819105599
SLE,1992,828.51603446303102
SLE,1993,841.77043807831205
SLE,1994,822.21830981924495
SLE,1995,755.34346747203801
SLE,1996,764.92451808736701
SLE,1997,710.74378835253799
SLE,1998,716.34603293925602
SLE,1999,698.54806357804898
SLE,2000,727.24091463259595
SLE,2001,642.03664584430396
SLE,2002,766.78869374290105
SLE,2003,806.06648901214396
SLE,2004,829.75976892830397
SLE,2005,842.90603090490197
SLE,2006,859.82426071496502
SLE,2007,872.68836234614002
SLE,2008,882.54147817867999
SLE,2009,872.23959352480995
SLE,2010,902.76989141139404
SLE,2011,950.76076305459299
SLE,2012,1025.04366004502
SLE,2013,1146.81973456475
SLE,2014,1032.23789355905
SLE,2015,964.57598088898897
SLE,2016,1002.77862282013
SLE,2017,1010.54694071207
SLE,2018,1015.6678297205
SLE,2019,1046.96778078594
SLE,2020,1010.25294614757
SLV,1990,2348.2046016776098
SLV,1991,2341.9338229913201
SLV,1992,2465.7598906071898
SLV,1993,2574.95134564317
SLV,1994,2670.21278543567
SLV,1995,2773.3252902754898
SLV,1996,2775.0462903869502
SLV,1997,2842.8848740907702
SLV,1998,2900.32064261101
SLV,1999,2946.4330235011998
SLV,2000,2964.8934688140598
SLV,2001,2978.5973484466799
SLV,2002,3016.06307728602
SLV,2003,3057.16467629097
SLV,2004,3081.2362966523401
SLV,2005,3163.3611837683302
SLV,2006,3302.3481735434698
SLV,2007,3359.1623024135001
SLV,2008,3420.4492735744302
SLV,2009,3337.8115087821102
SLV,2010,3398.49346060363
SLV,2011,3515.19664634846
SLV,2012,3600.3191250551799
SLV,2013,3665.9004416785401
SLV,2014,3713.9499201622202
SLV,2015,3790.3408910816202
SLV,2016,3875.8469135795399
SLV,2017,3954.8401427757199
SLV,2018,4046.1629172058301
SLV,2019,4143.1143709786702
SLV,2020,3808.5319543640899
SMR,1990,
SMR,1991,
SMR,1992,
SMR,1993,
SMR,1994,
SMR,1995,
SMR,1996,
SMR,1997,48409.525835708599
SMR,1998,51376.413029320698
SMR,1999,55318.420868065397
SMR,2000,55806.896785441502
SMR,2001,58173.2673485907
SMR,2002,57615.384060702898
SMR,2003,59090.206437438501
