country,year,Education_Tertiary
LKA,1990,
LKA,1991,
LKA,1992,
LKA,1993,
LKA,1994,4.7503800392150897
LKA,1995,
LKA,1996,
LKA,1997,
LKA,1998,
LKA,1999,
LKA,2000,
LKA,2001,
LKA,2002,
LKA,2003,
LKA,2004,
LKA,2005,
LKA,2006,
LKA,2007,
LKA,2008,
LKA,2009,
LKA,2010,15.844056345057799
LKA,2011,14.672718915633601
LKA,2012,16.322805343317
LKA,2013,17.7655041707891
LKA,2014,17.870191967823398
LKA,2015,18.172645919768598
LKA,2016,17.1510485178135
LKA,2017,17.1941300290821
LKA,2018,17.886975677811201
LKA,2019,19.4563160693078
LKA,2020,20.161487934302201
LSO,1990,1.2095099687576301
LSO,1991,1.2419899702072099
LSO,1992,2.1456298828125
LSO,1993,2.2732200622558598
LSO,1994,2.42086005210877
LSO,1995,2.3624999523162802
LSO,1996,2.4086999893188499
LSO,1997,
LSO,1998,
LSO,1999,1.9327600002288801
LSO,2000,2.08551001548767
LSO,2001,2.2731299400329599
LSO,2002,2.2450098991393999
LSO,2003,2.7027900218963601
LSO,2004,
LSO,2005,3.44801998138428
LSO,2006,3.6753699779510498
LSO,2007,
LSO,2008,
LSO,2009,
LSO,2010,
LSO,2011,
LSO,2012,10.852841813246201
LSO,2013,10.455838599691599
LSO,2014,10.4168970963646
LSO,2015,9.7251775437462396
LSO,2016,
LSO,2017,10.3130654092878
LSO,2018,9.9384429803358199
LSO,2019,
LSO,2020,
LTU,1990,
LTU,1991,
LTU,1992,
LTU,1993,
LTU,1994,
LTU,1995,
LTU,1996,
LTU,1997,
LTU,1998,
LTU,1999,
LTU,2000,
LTU,2001,57.347610473632798
LTU,2002,63.070079803466797
LTU,2003,69.630416870117202
LTU,2004,74.901382446289105
LTU,2005,79.729812622070298
LTU,2006,82.453178405761705
LTU,2007,82.515830993652301
LTU,2008,85.745086669921903
LTU,2009,89.252166748046903
LTU,2010,86.572570800781193
LTU,2011,84.055587768554702
LTU,2012,79.751632690429702
LTU,2013,74.396820068359403
LTU,2014,72.034538269042997
LTU,2015,72.1163330078125
LTU,2016,74.085830688476605
LTU,2017,76.538978576660199
LTU,2018,77.357772827148395
LTU,2019,75.094230651855497
LTU,2020,73.589286804199205
LUX,1990,
LUX,1991,
LUX,1992,
LUX,1993,
LUX,1994,
LUX,1995,
LUX,1996,
LUX,1997,
LUX,1998,
LUX,1999,
LUX,2000,
LUX,2001,9.9181604385375994
LUX,2002,11.631099700927701
LUX,2003,12.0609903335571
LUX,2004,
LUX,2005,
LUX,2006,9.85431003570557
LUX,2007,
LUX,2008,10.6716299057007
LUX,2009,
LUX,2010,18.2021293640137
LUX,2011,
LUX,2012,19.117790222168001
LUX,2013,
LUX,2014,
LUX,2015,20.2907104492188
LUX,2016,19.9203605651856
LUX,2017,19.5990200042725
LUX,2018,19.3915195465088
LUX,2019,19.396949768066399
LUX,2020,19.961389541626001
LVA,1990,
LVA,1991,
LVA,1992,
LVA,1993,
LVA,1994,
LVA,1995,
LVA,1996,
LVA,1997,
LVA,1998,
LVA,1999,
LVA,2000,
LVA,2001,63.4917602539062
LVA,2002,67.809303283691406
LVA,2003,71.034240722656193
LVA,2004,74.608558654785199
LVA,2005,75.419197082519503
LVA,2006,74.596511840820298
LVA,2007,73.043296813964801
LVA,2008,72.363540649414105
LVA,2009,73.054893493652301
LVA,2010,69.051040649414105
LVA,2011,67.953468322753906
LVA,2012,66.643547058105497
LVA,2013,69.076599121093807
LVA,2014,70.897941589355497
LVA,2015,74.299880981445298
LVA,2016,80.604812622070298
LVA,2017,88.057426452636705
LVA,2018,93.024482727050795
LVA,2019,94.864532470703097
LVA,2020,94.510833740234403
MAC,1990,
MAC,1991,
MAC,1992,
MAC,1993,
MAC,1994,
MAC,1995,
MAC,1996,
MAC,1997,
MAC,1998,
